保険者番号,保険者名,平均年収
6138291,シーイーシー健康保険組合,700 - 750
6138309,すかいらーくグループ健康保険組合,450 - 500
6138317,なとり健康保険組合,650 - 700
6138333,日本情報産業健康保険組合,700 - 750
6138341,観光産業健康保険組合,600 - 650
6138382,東京エレクトロン健康保険組合,1250 - 1000000000000
6138390,全労済健康保険組合,650 - 700
6138424,東亜建設工業健康保険組合,750 - 800
6138432,三陽商会健康保険組合,600 - 650
6138457,アコム健康保険組合,700 - 750
6138465,ＳＭＢＣコンシューマーファイナンス健康保険組合,750 - 800
6138481,ジェーシービー健康保険組合,750 - 800
6138499,渡辺パイプ健康保険組合,650 - 700
6138515,大東建託健康保険組合,700 - 750
6138523,住友不動産販売健康保険組合,750 - 800
6138531,モトローラ健康保険組合,800 - 850
6138549,日本マクドナルド健康保険組合,550 - 600
6138556,ＡＮＡウイングス健康保険組合,650 - 700
6138572,きらぼし銀行健康保険組合,600 - 650
6138580,ＫＤＤＩ健康保険組合,1000 - 1250
6138598,日本事務器健康保険組合,650 - 700
6138630,ＡＮＡグループ健康保険組合,750 - 800
6138655,システナ健康保険組合,700 - 750
6138663,シティグループ健康保険組合,1250 - 1000000000000
6138689,ダイエー健康保険組合,500 - 550
6138697,オートバックス健康保険組合,600 - 650
6138705,エヌ・ティ・ティ健康保険組合,900 - 1000
6138713,ジェイアールグループ健康保険組合,700 - 750
6138721,ジェイティ健康保険組合,750 - 800
6138747,ビックカメラ健康保険組合,600 - 650
6138754,メイテック健康保険組合,700 - 750
6138762,日本レストランエンタプライズ健康保険組合,500 - 550
6138770,ＪＲ東海リテイリング・プラス健康保険組合,550 - 600
6138788,フォーラムエンジニアリング健康保険組合,650 - 700
6138796,国際・政策銀健康保険組合,800 - 850
6139067,トーマツ健康保険組合,850 - 900
6139083,山崎製パン健康保険組合,600 - 650
6139091,兼松健康保険組合,1000 - 1250
6139125,ダイドーリミテッド健康保険組合,550 - 600
6139141,ＪＦＥ健康保険組合,800 - 850
6139158,グラクソ・スミスクライン健康保険組合,1250 - 1000000000000
6139166,ひかり健康保険組合,650 - 700
6139174,ローソン健康保険組合,700 - 750
6139182,アクセンチュア健康保険組合,1000 - 1250
6139190,あずさ健康保険組合,850 - 900
6139216,双日健康保険組合,1000 - 1250
6139224,日本ヒューレット・パッカード健康保険組合,900 - 1000
6139232,エイチ・アイ・エス健康保険組合,550 - 600
6139240,ディスコ健康保険組合,1000 - 1250
6139273,ジョンソン・エンド・ジョンソングループ健康保険組合,1250 - 1000000000000
6139281,ノバルティス健康保険組合,1250 - 1000000000000
6139299,ユアサ健康保険組合,650 - 700
6139307,ベルシステム２４健康保険組合,600 - 650
6139315,アビーム健康保険組合,850 - 900
6139323,丸紅健康保険組合,1250 - 1000000000000
6139356,ルネサス健康保険組合,800 - 850
6139364,コスモスイニシアグループ健康保険組合,650 - 700
6139372,日本ＮＣＲ健康保険組合,700 - 750
6139380,全日本理美容健康保険組合,500 - 550
6139398,不動テトラ健康保険組合,750 - 800
6139406,マルハン健康保険組合,700 - 750
6139414,日研グループ健康保険組合,600 - 650
6139422,ヨドバシカメラ健康保険組合,600 - 650
6139430,保土谷化学健康保険組合,750 - 800
6139448,ＮＳＤ健康保険組合,700 - 750
6139463,トランス・コスモス健康保険組合,650 - 700
6139489,ＥＹＪａｐａｎ健康保険組合,850 - 900
6139497,味の素健康保険組合,800 - 850
6139513,ＰｗＣ健康保険組合,850 - 900
6139521,サザビーリーグ健康保険組合,550 - 600
6139539,日本年金機構健康保険組合,650 - 700
6139554,メットライフ健康保険組合,900 - 1000
6139570,アボット健康保険組合,1000 - 1250
6139588,オオゼキ健康保険組合,500 - 550
6139596,ＦＲ健康保険組合,800 - 850
6139604,東京機械健康保険組合,700 - 750
6139620,日本コロムビア健康保険組合,600 - 650
6139638,ＪＶＣケンウッド健康保険組合,700 - 750
6139646,スターバックスコーヒージャパン健康保険組合,550 - 600
6139653,エイベックス・グループ健康保険組合,750 - 800
6139679,ニトリ健康保険組合,550 - 600
6139695,ジャパンディスプレイ健康保険組合,600 - 650
6139703,シミックグループ健康保険組合,650 - 700
6139729,日鉄物産健康保険組合,900 - 1000
6139737,デクセリアルズ健康保険組合,800 - 850
6139745,ＧＥ健康保険組合,900 - 1000
6139752,ウエスタンデジタルテクノロジーズ健康保険組合,850 - 900
6139760,あおみ建設健康保険組合,700 - 750
6139778,フューチャーグループ健康保険組合,850 - 900
6139786,ＤＭ三井製糖グループ健康保険組合,650 - 700
6139794,大気社グループ健康保険組合,750 - 800
6139802,ベンチャーバンク健康保険組合,550 - 600
6139810,楽天健康保険組合,700 - 750
6139828,ワークスアプリケーションズグループ健康保険組合,750 - 800
6139836,ＧＬＶ健康保険組合,600 - 650
6139844,グーグル健康保険組合,1250 - 1000000000000
6139851,パイオニア健康保険組合,700 - 750
6139869,地域医療振興協会健康保険組合,600 - 650
6139877,日本赤十字社健康保険組合,650 - 700
6139885,マイクロソフト健康保険組合,1250 - 1000000000000
6139893,ＣＴＣグループ健康保険組合,750 - 800
6139901,ＰＨＣ健康保険組合,750 - 800
6139919,ＺＡＲＡ健康保険組合,600 - 650
6139927,Ｃ＆Ｒグループ健康保険組合,650 - 700
6139935,アマゾンジャパン健康保険組合,900 - 1000
6139943,ラディックスグループ健康保険組合,650 - 700
6139950,ヒロセ電機健康保険組合,750 - 800
6139968,ＹＧ健康保険組合,600 - 650
6630016,三菱鉛筆健康保険組合,750 - 800
6630024,セラクグループ健康保険組合,650 - 700
6630032,ＥＡファーマ健康保険組合,900 - 1000
6630040,フィリップス・ジャパン健康保険組合,1000 - 1250
6630057,トラスコ中山健康保険組合,700 - 750
6630065,ＩＱＶＩＡグループ健康保険組合,900 - 1000
6630073,パーソルキャリア健康保険組合,650 - 700
6630081,がん研究会健康保険組合,650 - 700
6630099,住友不動産健康保険組合,900 - 1000
6630107,出光興産健康保険組合,850 - 900
6630115,マーキュリー健康保険組合,650 - 700
6630123,ＷｏｒｋｓＨｕｍａｎＩｎｔｅｌｌｉｇｅｎｃｅ健康保険組合,800 - 850
6630131,ＦＷＤ生命保険健康保険組合,850 - 900
6630149,日立ジョンソンコントロールズ空調健康保険組合,750 - 800
6630156,エンターテイメント健康保険組合,700 - 750
6630164,キオクシア健康保険組合,800 - 850
6630172,デル健康保険組合,900 - 1000
6630180,ベイカレント健康保険組合,850 - 900
6630198,セールスフォース健康保険組合,1250 - 1000000000000
6630206,アルプス技研グループ健康保険組合,650 - 700
6630214,日本Ｍ＆Ａセンターグループ健康保険組合,1000 - 1250
6630222,メドトロニック健康保険組合,1000 - 1250
6630230,ＪＥＲＡ健康保険組合,800 - 850
6630248,日立建機健康保険組合,800 - 850
6630255,プロテリアル健康保険組合,750 - 800
6630263,日清食品グループ健康保険組合,800 - 850
6630271,ＶＣスタートアップ健康保険組合,750 - 800
6140081,デイ・シイ健康保険組合,700 - 750
6140156,日産自動車健康保険組合,750 - 800
6140230,富士フイルムグループ健康保険組合,1000 - 1250
6140248,富士通健康保険組合,850 - 900
6140255,三菱化工機健康保険組合,750 - 800
6140271,京三製作所健康保険組合,700 - 750
6140305,東芝健康保険組合,800 - 850
6140339,神奈川運輸業健康保険組合,550 - 600
6140487,ＳＷＣＣ健康保険組合,700 - 750
6140545,横浜港湾健康保険組合,600 - 650
6140586,横浜銀行健康保険組合,700 - 750
6140651,日本飛行機健康保険組合,700 - 750
6140693,横浜港運健康保険組合,600 - 650
6140701,神奈川県医療従事者健康保険組合,600 - 650
6140719,神奈川県協同健康保険組合,550 - 600
6140859,日本発条健康保険組合,750 - 800
6140941,東洋電機健康保険組合,700 - 750
6140958,神奈川県鉄工業健康保険組合,650 - 700
6141121,プレス工業健康保険組合,650 - 700
6141154,神奈川鉄鋼産業健康保険組合,650 - 700
6141162,トヨタウエインズグループ健康保険組合,600 - 650
6141188,不二サッシ健康保険組合,650 - 700
6141220,神奈川県自動車販売健康保険組合,600 - 650
6141261,神奈川県石油業健康保険組合,600 - 650
6141295,日新健康保険組合,650 - 700
6141303,富士通ゼネラル健康保険組合,750 - 800
6141428,市光工業健康保険組合,650 - 700
6141451,ＫＴグループ健康保険組合,600 - 650
6141477,アツギ健康保険組合,650 - 700
6141493,神奈川県電設健康保険組合,650 - 700
6141527,上野グループ健康保険組合,650 - 700
6141543,油研健康保険組合,700 - 750
6141550,神奈川県自動車整備健康保険組合,550 - 600
6141576,東プレ健康保険組合,700 - 750
6141592,アマダ健康保険組合,800 - 850
6141626,神奈川県建設業健康保険組合,650 - 700
6141642,ゼロ健康保険組合,550 - 600
6141659,神奈川県機器健康保険組合,650 - 700
6141667,神奈川県管工事業健康保険組合,650 - 700
6141709,神奈川県電子電気機器健康保険組合,650 - 700
6141725,神奈川県プラスチック事業健康保険組合,600 - 650
6141808,黒田精工健康保険組合,650 - 700
6141832,河西工業健康保険組合,600 - 650
6141857,首都圏デジタル産業健康保険組合,700 - 750
6141865,丸全昭和運輸健康保険組合,650 - 700
6141881,神奈川県食品製造健康保険組合,600 - 650
6141899,東京応化工業健康保険組合,800 - 850
6141907,アルバック健康保険組合,800 - 850
6141931,ナイスグループ健康保険組合,650 - 700
6141949,古河電池健康保険組合,700 - 750
6141956,旭ファイバーグラス健康保険組合,750 - 800
6141980,エーアンドエーマテリアル健康保険組合,650 - 700
6141998,アルファ健康保険組合,650 - 700
6142046,ミツトヨ健康保険組合,750 - 800
6142095,そごう・西武健康保険組合,550 - 600
6142103,いすゞ自動車健康保険組合,800 - 850
6142111,アンリツ健康保険組合,800 - 850
6142129,富士ソフト健康保険組合,700 - 750
6142137,独立行政法人都市再生機構健康保険組合,700 - 750
6142152,古河電工健康保険組合,800 - 850
6142178,サクサ健康保険組合,650 - 700
6142186,ウシオ電機健康保険組合,750 - 800
6142194,ミクニ健康保険組合,650 - 700
6142202,スリーエムジャパン健康保険組合,800 - 850
6142210,ユニプレス健康保険組合,700 - 750
6142228,丸八真綿健康保険組合,550 - 600
6142236,ＥＮＥＯＳグループ健康保険組合,800 - 850
6142251,マクニカ健康保険組合,900 - 1000
6142285,ニフコ健康保険組合,700 - 750
6142293,レイズネクスト健康保険組合,750 - 800
6142301,ＪＭＡ健康保険組合,650 - 700
6142319,東日本銀行健康保険組合,600 - 650
6142327,労働者健康安全機構健康保険組合,650 - 700
6142335,オカムラグループ健康保険組合,700 - 750
6150015,デンカ健康保険組合,750 - 800
6150106,ツガミ健康保険組合,700 - 750
6150205,新潟臨港健康保険組合,600 - 650
6150239,第四北越銀行健康保険組合,650 - 700
6150296,新潟県農業団体健康保険組合,550 - 600
6150403,大光銀行健康保険組合,550 - 600
6150452,新潟トヨタ自動車健康保険組合,600 - 650
6150510,新潟日産自動車健康保険組合,600 - 650
6150536,コロナ健康保険組合,700 - 750
6150544,日本精機健康保険組合,650 - 700
6150569,植木組健康保険組合,700 - 750
6150577,ビー・エス・エヌ健康保険組合,650 - 700
6150585,直江津電子健康保険組合,650 - 700
6160030,広貫堂健康保険組合,600 - 650
6160170,北陸銀行健康保険組合,700 - 750
6160188,北陸電力健康保険組合,700 - 750
6160246,富山地方鉄道健康保険組合,600 - 650
6160279,北陸電気工事健康保険組合,700 - 750
6160287,不二越健康保険組合,750 - 800
6160295,ＹＫＫ健康保険組合,700 - 750
6160311,日本カーバイド工業健康保険組合,700 - 750
6160386,三協・立山健康保険組合,650 - 700
6160394,富山第一銀行健康保険組合,600 - 650
6160402,富山県自動車販売店健康保険組合,600 - 650
6160410,日本高周波鋼業健康保険組合,650 - 700
6160444,ＴＩＳインテックグループ健康保険組合,750 - 800
6160451,ゴールドウイン健康保険組合,700 - 750
6160469,北陸電気工業健康保険組合,650 - 700
6160477,日本重化学工業健康保険組合,650 - 700
6160493,中越パルプ工業健康保険組合,650 - 700
6170070,北國ＦＨＤ健康保険組合,650 - 700
6170088,北陸鉄道健康保険組合,600 - 650
6170146,津田駒工業健康保険組合,650 - 700
6170153,石川県自動車販売店健康保険組合,600 - 650
6170161,小松マテーレ健康保険組合,600 - 650
6170187,北陸地区信用金庫健康保険組合,600 - 650
6170203,北國新聞健康保険組合,650 - 700
6170211,澁谷工業健康保険組合,700 - 750
6170229,北陸情報産業健康保険組合,700 - 750
6170245,けいじゅ健康保険組合,550 - 600
6180012,セーレン健康保険組合,700 - 750
6180095,福井銀行健康保険組合,600 - 650
6180145,福井県自動車販売整備健康保険組合,600 - 650
6180152,福井県機械工業健康保険組合,650 - 700
6180160,サカイ健康保険組合,650 - 700
6180194,三谷健康保険組合,700 - 750
6180210,福邦銀行健康保険組合,550 - 600
6190037,山梨中央銀行健康保険組合,650 - 700
6190086,山梨県自動車販売整備健康保険組合,600 - 650
6190136,山日ＹＢＳ健康保険組合,650 - 700
6190144,ファナック健康保険組合,1250 - 1000000000000
6200174,八十二銀行健康保険組合,650 - 700
6200190,長野県農業協同組合健康保険組合,550 - 600
6200257,法令出版健康保険組合,600 - 650
6200281,信濃毎日新聞健康保険組合,650 - 700
6200299,長野県機械金属健康保険組合,650 - 700
6200349,ＫＯＡ健康保険組合,700 - 750
6200398,長野県自動車販売店健康保険組合,600 - 650
6200406,ミネベアミツミ健康保険組合,750 - 800
6200414,甲信越しんきん健康保険組合,600 - 650
6200422,チノン健康保険組合,600 - 650
6200448,長野銀行健康保険組合,550 - 600
6200455,甲信越信用組合健康保険組合,550 - 600
6200463,北野建設健康保険組合,700 - 750
6200471,マルイチ健康保険組合,600 - 650
6200489,キッセイ健康保険組合,800 - 850
6200505,長野県卸商業団地健康保険組合,500 - 550
6200513,日東光学健康保険組合,600 - 650
6200521,エプソン健康保険組合,800 - 850
6210207,十六フィナンシャルグループ健康保険組合,700 - 750
6210249,イビデン健康保険組合,750 - 800
6210256,大垣共立銀行健康保険組合,650 - 700
6210355,岐阜繊維健康保険組合,550 - 600
6210413,岐阜信用金庫健康保険組合,600 - 650
6210462,関ヶ原石材健康保険組合,600 - 650
6210470,岐阜県自動車販売健康保険組合,600 - 650
6210538,三岐しんきん健康保険組合,600 - 650
6210546,岐阜県プラスチック事業健康保険組合,600 - 650
6210587,日興毛織健康保険組合,550 - 600
6210595,中部アイティ産業健康保険組合,700 - 750
6210603,カヤバ健康保険組合,700 - 750
6220057,ヤマハ健康保険組合,800 - 850
6220073,スズキ健康保険組合,650 - 700
6220115,エンシュウ健康保険組合,650 - 700
6220156,静岡県農業団体健康保険組合,550 - 600
6220206,しずおかフィナンシャルグループ健康保険組合,700 - 750
6220248,静岡鉄道健康保険組合,650 - 700
6220297,特種東海健康保険組合,700 - 750
6220388,遠州鉄道健康保険組合,650 - 700
6220495,スルガ銀行健康保険組合,600 - 650
6220503,鈴与健康保険組合,650 - 700
6220545,矢崎健康保険組合,700 - 750
6220560,河合楽器健康保険組合,650 - 700
6220578,マーレエレクトリック健康保険組合,650 - 700
6220610,旭テック健康保険組合,650 - 700
6220628,静岡中央銀行健康保険組合,550 - 600
6220669,静岡県西部機械工業健康保険組合,650 - 700
6220677,静岡県東部機械工業健康保険組合,650 - 700
6220685,フジ健康保険組合,550 - 600
6220693,報徳同栄健康保険組合,600 - 650
6220727,ノダ健康保険組合,650 - 700
6220743,静岡県信用金庫健康保険組合,600 - 650
6220750,スクロール健康保険組合,550 - 600
6220792,静岡県石油健康保険組合,600 - 650
6220800,静岡県中部機械工業健康保険組合,650 - 700
6220842,静岡県自動車販売健康保険組合,600 - 650
6220883,静岡県トラック運送健康保険組合,550 - 600
6220891,静岡県自動車整備健康保険組合,550 - 600
6220917,静岡県電気工事業健康保険組合,650 - 700
6220933,静岡県金属工業健康保険組合,650 - 700
6220941,三保造船健康保険組合,600 - 650
6220966,製紙工業健康保険組合,650 - 700
6220974,矢崎化工健康保険組合,650 - 700
6220990,清水銀行健康保険組合,600 - 650
6221006,静岡新聞放送健康保険組合,650 - 700
6221048,エム・オー・エー健康保険組合,600 - 650
6221063,巴川コーポレーション健康保険組合,650 - 700
6221071,ホトニクス・グループ健康保険組合,800 - 850
6221097,聖隷健康保険組合,550 - 600
6221105,芝浦機械健康保険組合,700 - 750
6230023,ノリタケグループ健康保険組合,650 - 700
6230031,日本ガイシ健康保険組合,750 - 800
6230056,豊和工業健康保険組合,650 - 700
6230064,デンソー健康保険組合,800 - 850
6230072,日本車輌健康保険組合,700 - 750
6230155,近藤紡績健康保険組合,550 - 600
6230189,愛知時計電機健康保険組合,650 - 700
6230197,三龍社健康保険組合,600 - 650
6230205,豊田自動織機健康保険組合,850 - 900
6230221,大同特殊鋼健康保険組合,750 - 800
6230239,名古屋鉄道健康保険組合,700 - 750
6230254,トヨタ自動車健康保険組合,850 - 900
6230262,オークマ健康保険組合,700 - 750
6230312,ナオリ健康保険組合,600 - 650
6230346,興和健康保険組合,700 - 750
6230395,ＵＡＣＪ健康保険組合,750 - 800
6230411,愛知製鋼健康保険組合,700 - 750
6230452,日本特殊陶業健康保険組合,750 - 800
6230544,名古屋港湾健康保険組合,600 - 650
6230551,トヨタ車体健康保険組合,750 - 800
6230569,愛知県農協健康保険組合,550 - 600
6230627,中日新聞社健康保険組合,850 - 900
6230684,ブラザー健康保険組合,750 - 800
6230692,トヨタ紡織健康保険組合,750 - 800
6230700,アイシン健康保険組合,800 - 850
6230775,中部電力健康保険組合,800 - 850
6230882,東邦ガス健康保険組合,750 - 800
6230890,トヨタ販売連合健康保険組合,600 - 650
6231013,トーエネック健康保険組合,700 - 750
6231039,豊島健康保険組合,750 - 800
6231070,名古屋銀行健康保険組合,600 - 650
6231088,あいちフィナンシャルグループ,650 - 700
6231096,名古屋薬業健康保険組合,700 - 750
6231153,中部日本放送健康保険組合,900 - 1000
6231187,名古屋木材健康保険組合,600 - 650
6231245,ＡＴグループ健康保険組合,600 - 650
6231260,豊田合成健康保険組合,700 - 750
6231294,石塚硝子健康保険組合,650 - 700
6231344,ソトー健康保険組合,600 - 650
6231385,愛知県信用金庫健康保険組合,600 - 650
6231393,名古屋文具紙製品健康保険組合,550 - 600
6231401,愛知電機健康保険組合,700 - 750
6231443,東海マツダ販売健康保険組合,600 - 650
6231450,ＮＤＳ健康保険組合,700 - 750
6231468,中部鋼鈑健康保険組合,650 - 700
6231476,東海地区石油業健康保険組合,650 - 700
6231518,愛知県トラック事業健康保険組合,550 - 600
6231526,ＮＴＰグループ健康保険組合,600 - 650
6231534,岡谷鋼機健康保険組合,750 - 800
6231542,住友理工健康保険組合,750 - 800
6231591,フジパングループ健康保険組合,600 - 650
6231617,愛知紙商健康保険組合,650 - 700
6231625,シキシマパン健康保険組合,600 - 650
6231633,イノアック健康保険組合,650 - 700
6231641,豊田通商健康保険組合,1000 - 1250
6231658,愛知陸運健康保険組合,550 - 600
6231674,ＣＫＤ健康保険組合,700 - 750
6231690,愛知県自動車販売健康保険組合,600 - 650
6231716,新東工業健康保険組合,700 - 750
6231740,愛三工業健康保険組合,650 - 700
6231757,フタバ産業健康保険組合,650 - 700
6231773,ユニーグループ健康保険組合,550 - 600
6231781,大同メタル健康保険組合,650 - 700
6231807,カゴメ健康保険組合,750 - 800
6231831,東海放送健康保険組合,650 - 700
6231856,トヨタ関連部品健康保険組合,750 - 800
6231864,リンナイ健康保険組合,800 - 850
6231872,愛鉄連健康保険組合,650 - 700
6231880,スズケン健康保険組合,750 - 800
6231898,カリモク健康保険組合,600 - 650
6231906,マキタ健康保険組合,750 - 800
6231971,アペックス健康保険組合,650 - 700
6232029,めいらくグループ健康保険組合,550 - 600
6232045,キクチ健康保険組合,600 - 650
6232052,サーラグループ健康保険組合,700 - 750
6232060,しんくみ東海北陸健康保険組合,600 - 650
6232078,小島健康保険組合,600 - 650
6232094,ＦＵＪＩ健康保険組合,700 - 750
6232110,ヤマザキマザック健康保険組合,750 - 800
6232144,愛知県情報サービス産業健康保険組合,700 - 750
6232193,ケー・ティー・シーグループ健康保険組合,550 - 600
6232243,愛知県医療健康保険組合,600 - 650
6232250,リゾートトラスト健康保険組合,600 - 650
6232268,サンゲツ健康保険組合,750 - 800
6232276,ネクステージグループ健康保険組合,650 - 700
6232284,トーテックグループ健康保険組合,650 - 700
6232292,トップグループ健康保険組合,650 - 700
6232300,ジェイテクト健康保険組合,750 - 800
6240162,三重交通健康保険組合,600 - 650
6240220,百五銀行健康保険組合,650 - 700
6240360,三十三フィナンシャル・グループ健康保険組合,650 - 700
6240394,日本トランスシティ健康保険組合,700 - 750
6240436,ＪＳＲ健康保険組合,750 - 800
6240451,シンフォニアテクノロジー健康保険組合,700 - 750
6240485,三重県自動車販売健康保険組合,600 - 650
6240501,三重県農協健康保険組合,550 - 600
6240568,石原産業健康保険組合,750 - 800
6250054,東レ健康保険組合,750 - 800
6250070,滋賀銀行健康保険組合,650 - 700
6250252,綾羽健康保険組合,650 - 700
6250286,日本電気硝子健康保険組合,750 - 800
6250294,滋賀県自動車健康保険組合,600 - 650
6250302,平和堂健康保険組合,500 - 550
6250310,滋賀県農協健康保険組合,550 - 600
6250377,富士車輌健康保険組合,650 - 700
6250385,フジテック健康保険組合,700 - 750
6260020,グンゼ健康保険組合,650 - 700
6260038,島津製作所健康保険組合,800 - 850
6260053,ジーエス・ユアサ健康保険組合,750 - 800
6260251,京都銀行健康保険組合,700 - 750
6260293,日新電機健康保険組合,700 - 750
6260335,宝グループ健康保険組合,650 - 700
6260368,京都自動車健康保険組合,600 - 650
6260384,オムロン健康保険組合,800 - 850
6260392,京都新聞健康保険組合,650 - 700
6260400,ニチコン健康保険組合,700 - 750
6260434,村田製作所健康保険組合,750 - 800
6260459,日本新薬健康保険組合,900 - 1000
6260509,京都信用金庫健康保険組合,600 - 650
6260517,村田機械健康保険組合,750 - 800
6260525,京都中央信用金庫健康保険組合,600 - 650
6260533,ワコール健康保険組合,600 - 650
6260541,三洋化成工業健康保険組合,750 - 800
6260566,京都府農協健康保険組合,550 - 600
6260590,近畿しんきん健康保険組合,600 - 650
6260608,ＳＧホールディングスグループ健康保険組合,700 - 750
6260616,京セラ健康保険組合,700 - 750
6260632,堀場製作所健康保険組合,900 - 1000
6260665,アイフル健康保険組合,700 - 750
6260673,椿本チエイン健康保険組合,750 - 800
6260681,ＣＮＣグループ健康保険組合,650 - 700
6260699,トータルビューティー健康保険組合,550 - 600
6260707,くろがね健康保険組合,650 - 700
6260715,ニデック健康保険組合,800 - 850
6270011,住友電気工業健康保険組合,800 - 850
6270052,クラシエ健康保険組合,650 - 700
6270094,東洋アルミニウム健康保険組合,700 - 750
6270128,シキボウ健康保険組合,600 - 650
6270136,ユニチカ健康保険組合,650 - 700
6270219,東洋紡健康保険組合,700 - 750
6270276,森下仁丹健康保険組合,650 - 700
6270326,クボタ健康保険組合,800 - 850
6270334,中山製鋼所健康保険組合,750 - 800
6270342,阪急阪神健康保険組合,700 - 750
6270359,ダイセル健康保険組合,800 - 850
6270367,近畿車輛健康保険組合,650 - 700
6270375,パナソニック健康保険組合,800 - 850
6270409,ダイキン工業健康保険組合,800 - 850
6270458,Ｊ．フロント健康保険組合,600 - 650
6270490,水産連合健康保険組合,650 - 700
6270532,野村健康保険組合,850 - 900
6270565,ダイワボウ健康保険組合,650 - 700
6270623,大阪港湾健康保険組合,600 - 650
6270680,武田薬品健康保険組合,1000 - 1250
6270748,大阪瓦斯健康保険組合,750 - 800
6270755,塩野義健康保険組合,900 - 1000
6270771,近畿日本鉄道健康保険組合,700 - 750
6270789,大阪食糧連合健康保険組合,550 - 600
6270797,日本生命健康保険組合,800 - 850
6270854,住友生命健康保険組合,800 - 850
6270896,鴻池健康保険組合,650 - 700
6270904,住友商事健康保険組合,1250 - 1000000000000
6270912,南海電気鉄道健康保険組合,700 - 750
6270946,東淀川健康保険組合,600 - 650
6270953,田辺三菱製薬健康保険組合,900 - 1000
6270961,住友ファーマ健康保険組合,900 - 1000
6271043,伊藤忠健康保険組合,1250 - 1000000000000
6271118,りそな健康保険組合,750 - 800
6271126,京阪グループ健康保険組合,700 - 750
6271142,カネカ健康保険組合,750 - 800
6271167,日本板硝子健康保険組合,700 - 750
6271225,関西電力健康保険組合,800 - 850
6271274,クラレ健康保険組合,800 - 850
6271340,サンヨー連合健康保険組合,700 - 750
6271399,大阪読売健康保険組合,750 - 800
6271415,栗本鐵工健康保険組合,650 - 700
6271431,ダイハツ健康保険組合,650 - 700
6271456,大阪ニット健康保険組合,500 - 550
6271464,大阪織物商健康保険組合,550 - 600
6271563,きんでん健康保険組合,700 - 750
6271571,ヤンマー健康保険組合,750 - 800
6271605,サンスター健康保険組合,650 - 700
6271613,電線工業健康保険組合,700 - 750
6271647,毎放健康保険組合,650 - 700
6271696,日本ペイント健康保険組合,750 - 800
6271704,大阪紙商健康保険組合,650 - 700
6271720,しんくみ関西健康保険組合,600 - 650
6271746,ダイハツ系連合健康保険組合,650 - 700
6271779,シャープ健康保険組合,700 - 750
6271787,セキスイ健康保険組合,750 - 800
6271795,日東電工健康保険組合,800 - 850
6271811,大阪府信用金庫健康保険組合,600 - 650
6271829,サントリー健康保険組合,1000 - 1250
6271837,大阪薬業健康保険組合,700 - 750
6271845,ダイヘン健康保険組合,700 - 750
6271852,蝶理健康保険組合,900 - 1000
6271878,住友倉庫健康保険組合,750 - 800
6271886,日本触媒健康保険組合,800 - 850
6271902,大阪自転車健康保険組合,550 - 600
6271936,日立造船健康保険組合,700 - 750
6272017,西日本パッケージング健康保険組合,650 - 700
6272041,大阪自動車販売店健康保険組合,600 - 650
6272066,大和ハウス工業健康保険組合,800 - 850
6272082,岩谷産業健康保険組合,850 - 900
6272090,ダイダン健康保険組合,750 - 800
6272116,合同製鐵健康保険組合,750 - 800
6272124,長瀬産業健康保険組合,800 - 850
6272140,サノヤス健康保険組合,650 - 700
6272157,関西文紙情報産業健康保険組合,550 - 600
6272165,大阪金属問屋健康保険組合,650 - 700
6272173,神鋼商事健康保険組合,850 - 900
6272181,大日本塗料健康保険組合,650 - 700
6272199,大阪婦人子供既製服健康保険組合,500 - 550
6272223,永大産業健康保険組合,650 - 700
6272264,大阪線材製品健康保険組合,650 - 700
6272272,大阪府電設工業健康保険組合,650 - 700
6272322,コクヨ健康保険組合,750 - 800
6272371,大阪府石油健康保険組合,600 - 650
6272389,西日本プラスチック工業健康保険組合,600 - 650
6272397,バルカー健康保険組合,750 - 800
6272421,大阪府木材健康保険組合,600 - 650
6272439,大阪府貨物運送健康保険組合,550 - 600
6272447,タツタ電線健康保険組合,700 - 750
6272454,大阪菓子健康保険組合,550 - 600
6272496,大同生命健康保険組合,750 - 800
6272512,レンゴー健康保険組合,700 - 750
6272520,大阪鉄商健康保険組合,650 - 700
6272538,大阪府管工事業健康保険組合,650 - 700
6272546,駒井ハルテック健康保険組合,700 - 750
6272587,大広健康保険組合,700 - 750
6272595,大阪装粧健康保険組合,550 - 600
6272603,ロイヤルホテル健康保険組合,600 - 650
6272686,大阪府建築健康保険組合,650 - 700
6272728,サカタインクス健康保険組合,750 - 800
6272777,大阪自動車整備健康保険組合,550 - 600
6272793,稲畑産業健康保険組合,900 - 1000
6272827,ＯＴＧ健康保険組合,650 - 700
6272843,日本ハム健康保険組合,750 - 800
6272868,ダイフク健康保険組合,800 - 850
6272884,エクセディ健康保険組合,650 - 700
6272918,大建工業健康保険組合,700 - 750
6272942,大末建設健康保険組合,700 - 750
6272967,イトーキ健康保険組合,700 - 750
6272983,山善健康保険組合,750 - 800
6273015,大阪府電気工事健康保険組合,650 - 700
6273023,池田泉州銀行健康保険組合,650 - 700
6273056,象印マホービン健康保険組合,700 - 750
6273064,丸紅連合健康保険組合,1250 - 1000000000000
6273106,タカラベルモント健康保険組合,650 - 700
6273114,近畿電子産業健康保険組合,650 - 700
6273122,阪神高速道路健康保険組合,700 - 750
6273148,近畿化粧品健康保険組合,600 - 650
6273171,兼松連合健康保険組合,1000 - 1250
